Chords,Element Text,Font Size,Baseline Shift,Tracking (letter-spacing)
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,
others,/D,9pt,2.5pt,
others,G,,,-0.21em
others,♭,9pt,,-0.23em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,
others,/,9pt,2.5pt,
others,D,9pt,,-0.24em
others,♭,9pt,2.5pt,
others,F,,,0em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,
others,/C,9pt,2.5pt,
others,E,,,0em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,
others,/B,9pt,2.5pt,
others,B,,,0em
others,m,8pt,,0em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,
others,/,9pt,2.5pt,
others,A,9pt,,-0.16em
others,♯,9pt,2.5pt,
others,D,,,0em
others,7,9pt,2.5pt,
others,sus,8pt,2.4pt,0em
others,4/E,9pt,2.5pt,
others,D,,,0em
others,/,9pt,2.5pt,
others,F♯,9pt,,-0.15em
others,G,,,0em
others,sus,8pt,2.4pt,0em
others,5-,9pt,2.5pt,
others,D,,,0em
others,4,9pt,2.5pt,
others,7,9pt,,-0.15em
others,♯,9pt,,-0.15em
others,9,9pt,,0.05em
others,7,9pt,,-0.15em
others,♯,9pt,,-0.15em
others,9,9pt,,0.05em
others,A,,,0em
others,7/G,9pt,2.5pt,
others,C,,,0em
others,5,9pt,2.5pt,
others,B,,,-0.21em
others,♭,9pt,,-0.23em
others,5,9pt,2.5pt,
others,7,9pt,,-0.25em
others,♭,9pt,,-0.23em
others,9,9pt,,0.05em
others,C,,,0em
others,(♯,9pt,2.5pt,-0.22em
others,9,9pt,2.5pt,
others,),9pt,2.5pt,-0.22em
others,C,,,0em
others,11,9pt,,-0.1em
others,C,,,0em
others,4,9pt,2.5pt,
others,C,,,0em
others,2,9pt,2.5pt,
others,C,,,0em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,
others,/D,9pt,2.5pt,
others,B,,,0em
others,m,8pt,,0.01em
others,/,9pt,2.5pt,
others,F,9pt,,-0.16em
others,♯,9pt,2.5pt,
others,F,,,-0.15em
others,♯,9pt,,-0.2em
others,m,8pt,,0.01em
others,/B,9pt,2.5pt,
others,G,,,0em
others,m,8pt,,0em
others,/,9pt,2.5pt,
others,B,9pt,,-0.24em
others,♭,9pt,2.5pt,
others,F,,,0em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,-0.21em
others,♯,9pt,,-0.2em
others,11,9pt,,-0.15em
others,F,,,0em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,
others,9,9pt,,
others,F,,,0em
others,+,8pt,4.5pt,-0.25em
others,♯,9pt,,-0.15em
others,9,9pt,,0.05em
others,A,,,0em
others,6/E,9pt,2.5pt,
others,A,,,0em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,
others,/E,9pt,2.5pt,
others,D,,,0em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,-0.15em
others,♯,9pt,,-0.22em
others,11,9pt,,-0.15em
others,D,,,0em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,
others,13,9pt,,-0.1em
others,A,,,-0.1em
others,13,9pt,,-0.1em
others,A,,,0em
others,9,9pt,2.5pt,
others,1,9pt,,-0.15em
others,1,9pt,,-0.05em
others,13,9pt,,-0.1em
others,D,,,0em
others,7,9pt,2.5pt,
others,sus,8pt,2.4pt,0em
others,4,9pt,2.5pt,
others,E,,,-0.21em
others,♭,9pt,,-0.23em
others,/,9pt,2.5pt,
others,B,9pt,,-0.24em
others,♭,9pt,2.5pt,
others,G,,,0em
others,11,9pt,,-0.1em
others,/B,9pt,2.5pt,
others,F,,,-0.15em
others,♯,9pt,,-0.2em
others,m,8pt,,0em
others,1,9pt,,-0.15em
others,1,9pt,2.5pt,
others,7,9pt,,
others,/,9pt,2.5pt,
others,C,9pt,,-0.16em
others,♯,9pt,2.5pt,
others,G,,,-0.15em
others,♯,9pt,,-0.2em
others,m,8pt,,0em
others,+,8pt,4.5pt,
others,/,9pt,2.5pt,
others,D,9pt,,-0.16em
others,♯,9pt,2.5pt,
others,A,,,0em
others,9/E,9pt,2.5pt,
others,D,,,0em
others,6,9pt,2.5pt,-0.22em
others,♭,9pt,,-0.23em
others,5,9pt,,0.05em
others,B,,,0.02em
others,ø,10pt,2.5pt,0.03em
others,G,,,0em
others,sus,8pt,2.4pt,0em
others,4,9pt,2.5pt,
others,(9),9pt,,
others,9,9pt,2.5pt,0.05em
others,11,9pt,,-0.15em
others,F,,,0em
others,7,9pt,2.5pt,
others,M,8pt,2.5pt,
others,/,9pt,2.5pt,
others,F,9pt,,-0.16em
others,♯,9pt,2.5pt,
others,D,,,0em
others,m,8pt,,0em
others,(♭,9pt,2.5pt,-0.22em
others,1,9pt,,-0.1em
others,3,9pt,2.5pt,
others,),9pt,2.5pt,-0.22em
others,7,9pt,,-0.15em
others,♭,9pt,,-0.23em
others,9,9pt,,0.05em
others,/,9pt,2.5pt,
others,G,9pt,,-0.24em
others,♭,9pt,2.5pt,
others,D,,,-0.1em
others,7,9pt,2.5pt,
others,B,,,-0.21em
others,♭,9pt,,-0.23em
others,/,9pt,2.5pt,
others,G,9pt,,-0.24em
others,♭,9pt,2.5pt,
others,X,,,0em
others,sus,8pt,2.4pt,0em
others,4,9pt,2.5pt,
others,X,,,0em
others,sus,8pt,2.4pt,0em
others,2,9pt,2.5pt,
others,/A,9pt,2.5pt,
others,/,9pt,2.5pt,
others,A,9pt,,-0.16em
others,♯,9pt,2.5pt,
others,/,9pt,2.5pt,
others,A,9pt,,-0.24em
others,♭,9pt,2.5pt,
