Chord Type (titulo_aleatorio),Element Text,Phrase Role,Native Role Name,Font Size,Baseline Shift,Tracking (letter-spacing),,,
,13,acorde_NUMEROS_9pt_-track,acorde_NUMEROS_9pt_-track,9pt,,0em,,,
acorde natural maior,A,acorde_NADA,acorde_NADA,,,0em,Acorde Natural Maior,acorde_NADA,
acorde natural maior,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural maior,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural maior,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural maior,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural maior,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural maior,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural maior,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,Acorde Natural Maior Sustenido,ROOT=tracking -150,SUSTENIDO=9pt;tracking=-200
acorde natural maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural maior,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural maior,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural maior,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural maior,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural maior,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural maior,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural maior,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,Acorde Natural Maior Bemol,ROOT=tracking -150,BEMOL=9pt;tracking=-230
acorde natural maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural maior,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural maior,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural maior,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural maior,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural maior,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural maior,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural menor,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural menor,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural menor,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural menor,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural menor,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural menor,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural menor,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde natural menor,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural menor,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural menor,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural menor,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural menor,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural menor,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural menor,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde natural menor,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde natural menor,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde natural menor,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde maior com sétima,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sexta,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sexta,6,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sexta,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sexta,6,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sexta,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sexta,6,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sexta,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sexta,6,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sexta,E,acorde_NADA,acorde_NADA,,,0em,,,
